cutoff_ratio,maxDepth,avg_time_ms
0.255,1,93.6
0.255,2,47.9
0.255,3,47.6
0.255,4,46.1
0.255,5,46.9
0.255,6,48.3
0.26,1,71.0
0.26,2,48.1
0.26,3,48.8
0.26,4,48.8
0.26,5,49.2
0.26,6,49.0
0.265,1,70.4
0.265,2,48.3
0.265,3,48.1
0.265,4,48.7
0.265,5,49.1
0.265,6,48.9
0.27,1,72.8
0.27,2,46.7
0.27,3,49.8
0.27,4,49.1
0.27,5,46.5
0.27,6,45.2
0.275,1,70.0
0.275,2,44.9
0.275,3,48.1
0.275,4,48.2
0.275,5,48.3
0.275,6,47.4
0.28,1,73.8
0.28,2,48.8
0.28,3,46.4
0.28,4,48.8
0.28,5,49.8
0.28,6,49.4
0.285,1,70.4
0.285,2,46.9
0.285,3,46.0
0.285,4,46.8
0.285,5,47.3
0.285,6,47.0
0.29,1,68.0
0.29,2,46.7
0.29,3,47.8
0.29,4,46.7
0.29,5,44.9
0.29,6,46.9
0.295,1,68.9
0.295,2,46.4
0.295,3,46.1
0.295,4,47.1
0.295,5,47.0
0.295,6,47.1
0.3,1,69.1
0.3,2,49.2
0.3,3,48.4
0.3,4,51.4
0.3,5,53.2
0.3,6,49.5
0.305,1,69.0
0.305,2,43.6
0.305,3,45.7
0.305,4,45.5
0.305,5,44.5
0.305,6,42.8
0.31,1,67.7
0.31,2,45.0
0.31,3,43.9
0.31,4,43.8
0.31,5,43.5
0.31,6,43.6
0.315,1,66.8
0.315,2,44.0
0.315,3,42.3
0.315,4,44.9
0.315,5,44.8
0.315,6,42.8
0.32,1,66.4
0.32,2,42.8
0.32,3,43.5
0.32,4,42.7
0.32,5,42.9
0.32,6,41.9
0.325,1,66.9
0.325,2,44.8
0.325,3,44.0
0.325,4,41.5
0.325,5,43.1
0.325,6,50.4
0.33,1,66.5
0.33,2,44.1
0.33,3,45.9
0.33,4,43.1
0.33,5,43.0
0.33,6,45.1
0.335,1,67.3
0.335,2,44.8
0.335,3,42.9
0.335,4,42.9
0.335,5,43.6
0.335,6,42.4
0.34,1,67.3
0.34,2,42.6
0.34,3,43.5
0.34,4,45.4
0.34,5,45.5
0.34,6,44.9
0.345,1,67.9
0.345,2,48.0
0.345,3,48.5
0.345,4,47.0
0.345,5,44.4
0.345,6,43.6
0.35,1,66.9
0.35,2,44.9
0.35,3,42.5
0.35,4,43.3
0.35,5,41.5
0.35,6,42.5
0.355,1,66.1
0.355,2,42.1
0.355,3,43.1
0.355,4,41.8
0.355,5,43.0
0.355,6,41.8
0.36,1,66.6
0.36,2,43.5
0.36,3,43.4
0.36,4,43.0
0.36,5,43.4
0.36,6,42.5
0.365,1,66.5
0.365,2,43.2
0.365,3,42.2
0.365,4,42.4
0.365,5,43.3
0.365,6,43.5
0.37,1,66.4
0.37,2,42.2
0.37,3,43.0
0.37,4,44.6
0.37,5,44.8
0.37,6,46.8
0.375,1,66.6
0.375,2,42.4
0.375,3,43.8
0.375,4,42.6
0.375,5,41.8
0.375,6,42.6
0.38,1,67.0
0.38,2,44.5
0.38,3,43.0
0.38,4,42.6
0.38,5,44.3
0.38,6,44.0
0.385,1,67.0
0.385,2,43.9
0.385,3,43.3
0.385,4,43.8
0.385,5,42.9
0.385,6,44.3
0.39,1,67.3
0.39,2,43.7
0.39,3,43.5
